customer_id,age,sex,from_luzon,single,has_children,flight_count,avg_n_guests,avg_spend_log,ratio_domestic,ratio_one_way,avg_days_advanced,max_days_advanced,min_days_advanced,flight_quarter_mode
1,36,F,1,0,1,2,5.0,8.950041347800997,1.0,0.0,10.0,11,9,2
2,37,M,0,1,0,6,1.3333333333333333,8.455019365571887,0.6666666666666666,0.6666666666666666,29.5,63,9,4
3,29,M,0,1,1,2,2.0,8.991347454884174,0.5,0.5,36.0,59,13,4
4,25,F,1,0,1,4,3.0,9.695429572460652,0.25,1.0,49.5,67,12,4
5,36,F,1,1,0,1,1.0,7.494682782546058,1.0,1.0,20.0,20,20,2
6,15,M,0,1,0,3,1.6666666666666667,9.142434420250424,0.3333333333333333,0.3333333333333333,41.333333333333336,56,19,4
7,36,M,1,1,0,3,1.6666666666666667,7.667243983522627,1.0,0.6666666666666666,15.333333333333334,17,13,4
8,27,M,1,0,0,2,4.0,8.746109334861982,1.0,0.5,17.0,20,14,2
9,27,F,0,0,0,1,2.0,8.18436615078611,1.0,1.0,12.0,12,12,4
10,21,M,0,0,0,2,3.0,10.641283846419793,0.0,0.5,60.5,70,51,4
11,29,F,1,1,1,2,2.0,8.154285862414762,1.0,0.0,16.0,25,7,2
12,48,F,1,0,1,4,2.0,8.86815483011556,0.5,0.75,39.25,67,11,4
13,34,M,0,1,0,2,1.0,8.640852589917616,0.5,0.0,36.5,61,12,4
14,35,M,1,1,0,2,1.0,7.949740332034021,0.5,0.0,39.5,70,9,2
15,22,F,0,1,0,1,1.0,7.7790629172580115,1.0,0.0,9.0,9,9,2
16,38,M,0,0,0,2,2.0,9.25708683557706,0.5,0.5,34.0,56,12,4
17,21,F,1,1,0,2,2.0,8.395260616667741,1.0,1.0,12.5,15,10,2
18,27,F,1,0,0,2,2.0,7.144351281073043,1.0,1.0,13.0,16,10,2
19,41,M,1,1,0,2,2.5,6.907755278982137,1.0,0.5,23.0,26,20,2
20,33,Other,1,1,0,3,1.0,7.729080990967866,1.0,1.0,16.0,19,13,4
21,38,M,1,1,0,3,1.0,8.78389798604477,0.0,0.3333333333333333,62.666666666666664,77,54,2
22,45,F,1,1,0,2,3.0,9.03609491120353,0.5,1.0,42.0,64,20,4
23,24,F,1,1,0,1,1.0,8.803446434467448,1.0,0.0,12.0,12,12,2
24,15,M,1,1,0,3,2.0,8.808322830403005,0.3333333333333333,0.3333333333333333,42.333333333333336,60,13,2
25,15,M,1,0,0,1,2.0,7.198741468446814,1.0,1.0,15.0,15,15,2
26,48,F,1,0,0,1,2.0,8.470531604014509,1.0,1.0,12.0,12,12,4
27,25,F,1,1,0,2,2.0,9.65050272338074,0.0,1.0,61.0,64,58,2
28,36,M,0,1,0,1,1.0,7.611719518232653,1.0,0.0,18.0,18,18,2
29,36,M,1,0,1,3,2.0,9.654694592674998,0.3333333333333333,0.6666666666666666,47.0,66,14,4
30,28,F,0,1,0,2,1.0,9.349768353216028,0.0,0.5,60.0,68,52,2
31,38,M,1,1,0,3,1.6666666666666667,8.942561157168267,0.3333333333333333,0.3333333333333333,50.333333333333336,69,24,2
32,52,F,0,0,0,1,3.0,9.281849689215369,1.0,1.0,10.0,10,10,2
33,50,F,1,0,1,2,2.0,9.434813444969569,0.0,1.0,51.5,55,48,4
34,46,M,0,0,1,1,2.0,9.665681274193867,0.0,1.0,70.0,70,70,4
35,33,F,0,1,0,2,1.0,7.897006732566711,1.0,1.0,16.0,19,13,4
36,35,F,1,0,1,3,2.3333333333333335,9.277337743854472,0.0,1.0,55.666666666666664,61,48,4
37,27,F,1,1,1,1,3.0,8.297445144202545,1.0,1.0,11.0,11,11,2
38,15,F,0,1,0,2,1.0,7.8748415166765495,0.5,1.0,37.5,61,14,2
39,48,M,1,0,0,2,1.5,8.4327800360957,0.5,1.0,35.0,55,15,2
40,30,F,0,1,0,3,1.6666666666666667,8.5262949250352,0.3333333333333333,0.3333333333333333,55.0,78,17,2
41,41,M,1,1,0,1,1.0,9.132453949797817,0.0,1.0,58.0,58,58,4
42,15,F,0,1,0,2,1.0,9.283048963635244,0.0,0.5,66.5,74,59,2
43,19,F,1,1,0,3,4.0,8.070980903392632,1.0,1.0,14.666666666666666,19,8,2
44,39,F,1,1,0,3,2.3333333333333335,8.71243002402359,0.6666666666666666,0.3333333333333333,32.333333333333336,62,15,4
45,39,Other,0,0,0,2,2.5,9.325978718732816,1.0,0.0,15.5,16,15,4
46,45,F,1,0,1,1,3.0,9.375386974016108,1.0,0.0,18.0,18,18,4
47,16,F,1,1,0,2,1.0,7.991027148642241,0.5,1.0,44.0,74,14,4
